1,Drama,8857853,13344,663
2,Comedy,7502234,8374,895
3,Action,5614208,3520,1594
4,Thriller,5313506,4178,1271
5,Adventure,4380351,2329,1880
6,Romance,3802002,4127,921
7,Crime,3298335,2939,1122
8,Sci-Fi,3150141,1743,1807
9,Fantasy,2111403,1412,1495
10,Children,1669249,1139,1465
11,Mystery,1557282,1514,1028
12,Horror,1482737,2611,567
13,Animation,1140476,1027,1110
14,War,1048618,1194,878
15,Musical,870915,1036,840
16,IMAX,492366,196,2512
17,Western,423714,676,626
18,Documentary,244619,2471,98
19,Film-Noir,216689,330,656
20,(no genres listed),361,246,1
